ID,SKU,Type,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Regular Price,Sale Price
,MD1786_b5ef53,variation,Siyah Kaşe Kaban,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,,,,MD1786,,,,,,0,Beden,M,,,,RENK,SİYAH,,,,149.99,
,MD1786_b9dbf4,variation,Siyah Kaşe Kaban,0,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,,,,MD1786,,,,,,0,Beden,S,,,,RENK,GRİ,,,,149.99,
,MD1786_bd7035,variation,Siyah Kaşe Kaban,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,,,,MD1786,,,,,,0,Beden,S,,,,RENK,SİYAH,,,,149.99,
,MD1787,simple,V Yaka Kazayağı Desenli Kazak,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,"https://st2.myideasoft.com/idea/ek/76/myassets/products/989/moda-celikler-kaban-gif1-gif2.gif,https://st3.myideasoft.com/idea/ek/76/myassets/products/989/moda-celikler-kazak.gif",,,,,,,,,0,,,,,,,,,,,84.9,
,MD1789,simple,Mavi Beyaz Kazak,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,"https://st3.myideasoft.com/idea/ek/76/myassets/products/991/moda-celikler-mavikazak-gif1.gif,https://st1.myideasoft.com/idea/ek/76/myassets/products/991/moda-celikler-mavikazak.gif,https://st3.myideasoft.com/idea/ek/76/myassets/products/991/moda-celikler-mavikazak-gif1-gif2.gif",,,,,,,,,0,,,,,,,,,,,89.99,
,MD1790,variable,Siyah Kareli Ceket Gömlek,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,https://st3.myideasoft.com/idea/ek/76/myassets/products/992/moda-celikler-siyah-kareli-gomlek.gif,,,,,,,,,0,Beden,"L, M, S",1,,,,,,,,,
,MD1790_400c00,variation,Siyah Kareli Ceket Gömlek,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD1790,,,,,,0,Beden,L,,,,,,,,,119.99,
,MD1790_4a0531,variation,Siyah Kareli Ceket Gömlek,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD1790,,,,,,0,Beden,M,,,,,,,,,119.99,
,MD1790_4d1162,variation,Siyah Kareli Ceket Gömlek,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD1790,,,,,,0,Beden,S,,,,,,,,,119.99,
,MD1791,simple,Madonna Yaka Kazak,0,0,visible,,,,,taxable,,1,3,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,https://st2.myideasoft.com/idea/ek/76/myassets/products/002/moda-celikler-logo-buyuk-boy-gif-mmadonna-yaka-ceket-7.gif,,,,,,,,,0,,,,,,,,,,,69.99,59.99
